domainlength,HW-baseline,HW-elementwise,HW-pointwise,SW-baseline,SW-elementwise,SW-pointwise
16,70681.68066814553,68275.4059497051,283710.5824432734,114591.42796402666,61757.10552750414,284315.5565442727
32,141376.16447635886,136477.72321100318,562533.5138172249,253062.4510680026,167215.3420076292,829004.8057763287
64,282558.2114065218,272630.4579339723,1130133.0555970576,534419.9882391227,406323.4080375852,2121312.562147829
128,557826.5682335201,543523.2621611292,2384945.0344699086,1107836.6460453006,889074.1126623603,4333107.65064321
256,1113275.8140829392,1085896.076352068,4731934.086041102,2255089.436720797,1864326.5509188739,8636977.058029719
512,2226745.2986100237,2137737.965391193,9396995.595020216,4485699.673181804,3711637.657274694,17032601.463739187
1024,4441321.640166203,4246126.03198693,18351090.045469455,8967039.555475,7422199.196818074,34053308.068808764
2048,8776816.861088017,8342651.606828203,35666705.37628076,17853567.31527356,14830961.079784129,67579609.16513954
4096,17139366.144730564,16568238.815629805,70437915.41436145,35325419.03722851,29521784.607152924,133985378.09639078
8192,34069169.7892669,32967055.12674892,140912180.14953214,70537990.07357194,59037399.241899595,266927337.89507985
16384,67874549.76021451,65019743.26428461,256842765.32371846,141063833.71242636,118074373.63139604,377855421.45912915
32768,133997431.93398272,127985001.9528504,430531923.9975321,275313916.5150398,208560669.51437455,536828309.30537355
65536,261144339.5721771,248350607.36126834,515722875.29871523,515499760.0899859,426694446.2530113,719298438.168827
131072,360659618.1225693,466355460.7385784,627990599.9809725,762170585.909334,720215396.4503543,798722745.609438
262144,438005330.15845484,704915564.1604819,724880578.0390306,920538324.4548128,768042378.9221442,861458582.3497715
524288,565811796.2398398,747513461.1186898,831595977.592513,1075464908.7719066,824120262.7932062,1142578193.1029673
1048576,526769082.39129454,818314558.3873198,837989291.1907372,882168201.3558025,877855124.6517284,905771988.3212689
2097152,545112684.1822591,837639521.5808808,870606607.6692015,971663960.8137383,891820679.4725156,911749719.5822861
4194304,709029069.5550063,1114809627.2453928,1123215045.605953,1147429959.6025019,1151471492.5853279,1173414054.5469785
8388608,715687417.7210958,1137668991.972187,1127996848.1280346,1149432210.9556653,1159240744.7327766,1179008203.8503518
16777216,719002999.9671098,1142558584.5722187,1132264499.844777,1150826977.1139235,1164082040.465155,1180056410.1481998
33554432,720851932.3072903,1144784396.1553483,1134528979.078935,1152920730.4222307,1164942871.5260298,1180612782.007797
67108864,722416319.5013485,1145967087.2845397,1135970275.7038245,1154402215.6090343,1165467875.282764,1182743461.4028904
134217728,723003937.7501495,1142016116.1899264,1136696630.1650617,1154700161.7399085,1165934605.0939922,1182910244.6590989
