radius,H100,A100,V100,MI250X GCD,MI100
0,0.0597925,0.111521,0.1776185,0.11076,0.14474700000000001
1,0.0631695,0.116781,0.18444850000000002,0.12191199999999999,0.1494915
2,0.063959,0.12073549999999994,0.185992,0.122428,0.150022
4,0.06711,0.137541,0.2000035,0.124958,0.151295
8,0.079069,0.18074600000000002,0.24064750000000001,0.135904,0.15983049999999993
16,0.106147,0.22056149999999997,0.2741295,0.166889,0.19700099999999998
32,0.1618525,0.35652700000000004,0.40653249999999996,0.270331,0.3060005
64,0.29041950000000005,0.6380935,0.7432925,0.485113,0.549104
128,0.5499324999999999,1.2127249999999998,1.2868249999999999,0.9057459999999999,1.038745
256,1.071265,1.84462,2.32741,1.77072,1.9299499999999998
512,2.112235,3.647655,4.87123,3.4941050000000002,3.769945
1024,4.193455,7.171695000000001,8.908045,6.970735,7.47594
